Instrument,DateStamp,TimeStamp
W20,2016-07-01,08:45:22
W20,2016-07-01,08:45:22
W20,2016-07-01,08:45:24
W20,2016-07-01,08:45:24
W20,2016-07-01,08:45:25
W20,2016-07-01,08:45:25
W20,2016-07-01,08:45:25
W20,2016-07-01,08:45:25
W20,2016-07-01,08:45:27
W20,2016-07-01,08:45:27
W20,2016-07-01,08:45:29
W20,2016-07-01,08:45:29
W20,2016-07-01,08:45:29
W20,2016-07-01,08:45:29
W20,2016-07-01,08:45:30
W20,2016-07-01,08:45:30
W20,2016-07-01,08:45:50
W20,2016-07-01,08:45:50
W20,2016-07-01,08:45:59
W20,2016-07-01,08:45:59
W20,2016-07-01,08:46:00
W20,2016-07-01,08:46:00
W20,2016-07-01,08:46:03
W20,2016-07-01,08:46:03
W20,2016-07-01,08:46:07
W20,2016-07-01,08:46:07
W20,2016-07-01,08:46:07
W20,2016-07-01,08:46:07
W20,2016-07-01,08:46:17
W20,2016-07-01,08:46:17
W20,2016-07-01,08:46:35
W20,2016-07-01,08:46:35
W20,2016-07-01,08:46:58
W20,2016-07-01,08:46:58
W20,2016-07-01,08:51:13
W20,2016-07-01,08:51:13
W20,2016-07-01,08:51:40
W20,2016-07-01,08:51:40
W20,2016-07-01,08:51:41
W20,2016-07-01,08:51:41
W20,2016-07-01,08:51:44
W20,2016-07-01,08:51:44
W20,2016-07-01,08:51:47
W20,2016-07-01,08:51:47
W20,2016-07-01,08:52:56
W20,2016-07-01,08:52:56
W20,2016-07-01,08:52:58
W20,2016-07-01,08:52:58
W20,2016-07-01,08:53:04
W20,2016-07-01,08:53:04
W20,2016-07-01,08:53:48
W20,2016-07-01,08:53:48
W20,2016-07-01,08:54:22
W20,2016-07-01,08:54:22
W20,2016-07-01,08:54:25
W20,2016-07-01,08:54:25
W20,2016-07-01,08:54:28
W20,2016-07-01,08:54:28
W20,2016-07-01,08:54:29
W20,2016-07-01,08:54:29
W20,2016-07-01,08:54:31
W20,2016-07-01,08:54:31
W20,2016-07-01,08:55:05
W20,2016-07-01,08:55:05
W20,2016-07-01,08:55:35
W20,2016-07-01,08:55:35
W20,2016-07-01,08:56:06
W20,2016-07-01,08:56:06
W20,2016-07-01,08:59:28
W20,2016-07-01,08:59:28
W20,2016-07-01,09:00:34
W20,2016-07-01,09:00:34
W20,2016-07-01,09:02:09
W20,2016-07-01,09:02:09
W20,2016-07-01,09:02:09
W20,2016-07-01,09:02:09
W20,2016-07-01,09:02:19
W20,2016-07-01,09:02:19
W20,2016-07-01,09:02:21
W20,2016-07-01,09:02:21
W20,2016-07-01,09:02:24
W20,2016-07-01,09:02:24
W20,2016-07-01,09:02:32
W20,2016-07-01,09:02:32
W20,2016-07-01,09:03:06
W20,2016-07-01,09:03:06
W20,2016-07-01,09:03:15
W20,2016-07-01,09:03:15
W20,2016-07-01,09:04:37
W20,2016-07-01,09:04:37
W20,2016-07-01,09:04:39
W20,2016-07-01,09:04:39
W20,2016-07-01,09:04:43
W20,2016-07-01,09:04:43
W20,2016-07-01,09:05:45
W20,2016-07-01,09:05:45
W20,2016-07-01,09:06:03
W20,2016-07-01,09:06:03
W20,2016-07-01,09:06:10
W20,2016-07-01,09:06:10
W20,2016-07-01,09:06:14
W20,2016-07-01,09:06:14
W20,2016-07-01,09:06:17
W20,2016-07-01,09:06:17
W20,2016-07-01,09:06:52
W20,2016-07-01,09:06:52
W20,2016-07-01,09:06:52
W20,2016-07-01,09:06:52
W20,2016-07-01,09:06:56
W20,2016-07-01,09:06:56
W20,2016-07-01,09:06:59
W20,2016-07-01,09:06:59
W20,2016-07-01,09:07:05
W20,2016-07-01,09:07:05
W20,2016-07-01,09:07:05
W20,2016-07-01,09:07:05
W20,2016-07-01,09:07:09
W20,2016-07-01,09:07:09
